region,per_capita_cash_income_2020,real_incomes_2020,formal_wage_paid_2020,real_pay_2020,mortality_2020,newborn_2020,alc_2020,nar_2020,anomalies_2020,soc_ex_2020,child_need_under_16_2020,people_need_over_working_age_2020,people_need_working_age_2020,abort_2020,ret_turn_per_capita_2020_(rub),housting_2020,suicid_2020,HIV_2020,grp_2020,pop_2020,p_clinic_2020,hosp_2020,1_group_invalid_2020,2_group_invalid_2020,3_group_invalid_2020,child_invalid_2020,poverty_2020,unemployed_2020,death_cancer_2020,divorce_2020,death_cir_syst_2020,death_tub_2020,orphans_2020,syphilis_2020,gonor_2020,active_tub_2020,commit_minors_2020,recidivist_2020,crime_under_alcohol_2020,crime_under_narc_2020,reg_prod_2020
Ленинградская область,33149.0,100.8,48286.0,101.1,52.0,13303.99,372,140,55.0,16.7,39.01643835616437,5.045205479452054,55.945205479452056,5674.0,255645.99,30.57,15.1,1073,661328.6,1884292.0,302,48,15987,62943,55994,4198,8.7,5.3,212.6,6426.0,566.7,2.9,442,154,48,408,309,4600,2842,81,2594670989.6
Липецкая область,32226.0,94.9,36790.0,103.3,35.0,9441.0,721,63,706.0,22.3,40.0,0.8,59.3,3301.99,236551.99,33.58,1.8,256,546151.3,1133782.0,164,44,14462,50483,51021,4475,8.4,4.3,195.3,4849.0,772.5,1.5,1053,98,63,195,242,4318,2036,21,1558564055.6
Магаданская область,70864.0,104.3,102843.0,105.0,4.0,1310.0,94,10,0.0,11.1,39.01643835616437,5.045205479452054,55.945205479452056,957.0,245816.99,29.41,12.2,49,2035007.0,139592.0,42,18,999,2039,1954,537,8.7,5.6,201.3,707.0,544.4,3.6,167,6,11,40,59,932,592,7,535550597.54
Москва,77283.0,100.2,100070.0,103.1,450.0,125566.0,2397,1130,11435.0,17.5,38.4,13.2,48.5,26815.99,408674.0,19.59,2.1,1807,1567644.79,12666565.0,2551,146,111301,513903,384033,42021,6.0,2.6,214.1,39933.99,516.7,1.5,0,2291,646,2245,480,16228,6614,891,19562414444.0
Московская область,47046.0,97.8,58066.0,101.8,246.0,79057.0,2173,756,3169.0,19.4,49.9,5.7,44.4,20796.99,347565.99,34.13,11.6,2321,683845.1,7699681.0,1541,152,51098,191314,176329,25428,6.8,3.6,172.0,31878.99,502.4,1.7,271,1362,352,1523,767,21162,9491,714,7046755371.52
Мурманская область,46355.0,100.4,69135.0,105.1,25.0,6513.99,220,37,754.0,22.8,43.7,0.4,55.8,3870.0,242843.99,25.94,5.4,344,1072337.09,737134.0,157,38,5680,11272,11482,2728,10.1,7.7,200.6,3367.0,649.79,2.6,97,49,9,139,263,3770,1663,14,2018215171.98
Ненецкий автономный округ,84147.0,101.1,92237.0,101.4,4.0,599.0,78,2,0.0,14.4,39.01643835616437,5.045205479452054,55.945205479452056,293.0,226206.0,25.61,22.6,9,5206287.1,44250.0,10,2,514,1256,1169,229,9.4,8.8,212.4,158.0,359.29,2.29,77,9,0,6,20,249,211,1,525911311.7
Нижегородская область,33645.0,95.2,37601.0,102.8,128.0,27678.99,1178,247,5864.0,22.2,31.7,3.8,64.5,11113.0,237008.0,28.45,7.8,1761,497418.59,3189749.0,635,137,29416,155032,100924,12443,9.4,4.6,193.3,12337.99,856.0,1.4,559,153,52,699,828,12512,6824,195,3001557919.68
Новгородская область,26268.0,96.8,34169.0,102.4,20.0,4849.0,307,47,97.0,25.3,40.1,1.3,58.6,2368.0,204547.0,33.33,15.3,285,471333.29,594460.0,130,34,7548,25285,23939,2437,13.6,5.8,228.1,2731.0,913.6,2.0,73,19,35,153,384,3070,1910,5,464736714.4
Новосибирская область,31563.0,99.8,41534.0,102.9,164.0,28859.0,1177,363,2278.0,25.4,34.1,4.4,61.5,16915.0,197027.99,26.54,15.4,1922,485981.4,2792003.0,286,105,21693,74450,86777,9973,13.8,6.7,244.3,12235.0,776.4,11.7,423,267,192,2007,1075,12547,5122,169,1416021141.54
